Company Name,NSE,NSE CODE
Reliance Industries Ltd.,RELIANCE.NS,RELIANCE
Tata Consultancy Services Ltd.,TCS.NS,TCS
HDFC Bank Ltd.,HDFCBANK.NS,HDFCBANK
Infosys Ltd.,INFY.NS,INFY
Hindustan Unilever Ltd.,HINDUNILVR.NS,HINDUNILVR
ICICI Bank Ltd.,ICICIBANK.NS,ICICIBANK
Bajaj Finance Ltd.,BAJFINANCE.NS,BAJFINANCE
State Bank Of India,SBIN.NS,SBIN
Bharti Airtel Ltd.,BHARTIARTL.NS,BHARTIARTL
Wipro Ltd.,WIPRO.NS,WIPRO
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,KOTAKBANK
HCL Technologies Ltd.,HCLTECH.NS,HCLTECH
Asian Paints Ltd.,ASIANPAINT.NS,ASIANPAINT
Avenue Supermarts Ltd.,DMART.NS,DMART
ITC Ltd.,ITC.NS,ITC
Larsen & Toubro Ltd.,LT.NS,LT
Bajaj Finserv Ltd.,BAJAJFINSV.NS,BAJAJFINSV
Maruti Suzuki India Ltd.,MARUTI.NS,MARUTI
Adani Green Energy Ltd.,ADANIGREEN.NS,ADANIGREEN
Ultratech Cement Ltd.,ULTRACEMCO.NS,ULTRACEMCO
Titan Company Ltd.,TITAN.NS,TITAN
Axis Bank Ltd.,AXISBANK.NS,AXISBANK
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,SUNPHARMA
Adani Enterprises Ltd.,ADANIENT.NS,ADANIENT
Adani Total Gas Ltd.,ATGL.NS,ATGL
Adani Transmission Ltd.,ADANITRANS.NS,ADANITRANS
Nestle India Ltd.,NESTLEIND.NS,NESTLEIND
Oil & Natural Gas Corporation Ltd.,ONGC.NS,ONGC
Tech Mahindra Ltd.,TECHM.NS,TECHM
Tata Motors Ltd.,TATAMOTORS.NS,TATAMOTORS
JSW Steel Ltd.,JSWSTEEL.NS,JSWSTEEL
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,ADANIPORTS
Power Grid Corporation Of India Ltd.,POWERGRID.NS,POWERGRID
Tata Steel Ltd.,TATASTEEL.NS,TATASTEEL
Hindustan Zinc Ltd.,HINDZINC.NS,HINDZINC
HDFC Life Insurance Co Ltd.,HDFCLIFE.NS,HDFCLIFE
Vedanta Ltd.,VEDL.NS,VEDL
Larsen & Toubro Infotech Ltd.,LTI.NS,LTI
Pidilite Industries Ltd.,PIDILITIND.NS,PIDILITIND
NTPC Ltd.,NTPC.NS,NTPC
Divi's Laboratories Ltd.,DIVISLAB.NS,DIVISLAB
SBI Life Insurance Company Ltd.,SBILIFE.NS,SBILIFE
Grasim Industries Ltd.,GRASIM.NS,GRASIM
Indian Oil Corporation Ltd.,IOC.NS,IOC
Zomato Ltd.,ZOMATO.NS,ZOMATO
Mahindra & Mahindra Ltd.,M&M.NS,M&M
Hindalco Industries Ltd.,HINDALCO.NS,HINDALCO
FSN E-Commerce Ventures Ltd.,NYKAA.NS,NYKAA
Dabur India Ltd.,DABUR.NS,DABUR
Godrej Consumer Products Ltd.,GODREJCP.NS,GODREJCP
Shree Cement Ltd.,SHREECEM.NS,SHREECEM
DLF Ltd.,DLF.NS,DLF
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,BAJAJ-AUTO
Coal India Ltd.,COALINDIA.NS,COALINDIA
Havells India Ltd.,HAVELLS.NS,HAVELLS
One97 Communications Ltd.,PAYTM.NS,PAYTM
SBI Cards And Payment Services Ltd.,SBICARD.NS,SBICARD
Siemens Ltd.,SIEMENS.NS,SIEMENS
Britannia Industries Ltd.,BRITANNIA.NS,BRITANNIA
Bharat Petroleum Corporation Ltd.,BPCL.NS,BPCL
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS,ICICIPRULI
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,DRREDDY
Interglobe Aviation Ltd.,INDIGO.NS,INDIGO
Mindtree Ltd.,MINDTREE.NS,MINDTREE
Ambuja Cements Ltd.,AMBUJACEM.NS,AMBUJACEM
Cipla Ltd.,CIPLA.NS,CIPLA
Berger Paints India Ltd.,BERGEPAINT.NS,BERGEPAINT
SRF Ltd.,SRF.NS,SRF
Tata Power Company Ltd.,TATAPOWER.NS,TATAPOWER
Info Edge (India) Ltd.,NAUKRI.NS,NAUKRI
